,user_name,user_location,text,likes,date
1173,ayaaeldawody, الدقهلية ,مش حرام ي فودافون لما يبقا معايا ٩ جيجا ومش عرفه افتح داتا علشان الشبكه مبتجمعش 3G حتى,3,2020-09-20
1174,NourBoika, الدقهلية ,الداتا لسه مجددها للموبايل من ساعه والصلاه علي النبي لا بتحمل تويته ولا صوره ولا فيديو وبصراحه مش عارف الاقيها من we  ولا فودافون...,0,2020-09-03
1175,_mariammohamd8_, الدقهلية ,هي شبكه فودافون زفت كدا عندكو برضه؟؟ ولا في اييييههه,9,2020-08-30
1176,_mariammohamd8_, الدقهلية ,جماعه مفيش اي طريقه اخد بيها ميجا بايتس من فودافون 🤦‍♀️,6,2020-08-28
1177,Do3a2Kahlout, الدقهلية ,"أهلى من ساعه م قعدو ب الحجر وهما 24 ساعه اتصالات
بتصحينى من النوم تقلى ليش نايمه
إلى هوا طب اصحى اعمل ايه طيب 😭 😭 😭 😭",4,2020-08-26
1178,koura_menna, الدقهلية ,"Coca.cola /Orange 
افشل شركتين في مصر عملين اعلان سوا مساء القرف",11,2020-08-10
1179,elesawy50, الدقهلية ,اعلان اورنج احلى من اعلان فودافون مليون مرة,0,2020-07-30
1180,KhaaledMohsen, الدقهلية ,غماعه انا نصبت على اورانج، دخلت كود ثانويه عامة وخدت ٣٠٠ ميجا وبصوا المفاجأة، انا مش ثانوية ع ا م ة👍🏻👍🏻👍🏻👍🏻👍🏻,5,2020-07-25
1181,__7mbsolaaa__, الدقهلية ,بجد لجد يقا ي جماعه كسم فودافون شىركه متناكه 🖕🖕,0,2020-07-16
1182,waleedelsofany1, الدقهلية ,حولت خطي اتصالات و بجد احسن قرار عملته,0,2020-07-15
1183,Al3agamy, الدقهلية ,أنا تقريباً كده إكتشفت ثغرة عنب في تطبيق فودافون !🤔,0,2020-07-08
1184,ayaaeldawody, الدقهلية ,هيا فودافون شالت stay home فعلا ولا رمت طوبتي بما ان انا كده كده مبخرجش,1,2020-06-22
1185,am5________, الدقهلية ,"وانا فى ابتدائى طلع اشاعه ان فى رقم موبايل لو اتصل عليك ورديت فى  اشعه هتدخل ل جسمك و هتتشل وتموت وان اسرائيل هى اللى ورا كدا عشان تموت المصريين , وفى بهايم كتير صدقت الحوار ده , دلوقتى البهايم كبرت ومصدقين ان فى رقم فودافون بيتصل بيك واول ماترد بيهكر موبايلك ويسرق صورك",1,2020-06-09
1186,YasoM46173269, الدقهلية ,الرقم للي انتو خايفين منه دا يا جماعه رقم شركه فودافون ولا هكر ولا نيله مش اي حاجه تصدقوها وأنا رديت عليه ودي عروض علي الباقات مش حاجه تانيه اتاكدو الاول قبل اي حاجه وانا اتاكدت من ناس صحابي في شركه فودافون 🤦,1,2020-06-09
1187,AyaahOsman, الدقهلية ,لا يا جماعه مش يومين دول اللي مكنتش متابعه فيهم شغل المصنع الاقيهم عاملين شوز اورانج في بينك انتو بتهزرو🌚🌚🌚,0,2020-06-07
1188,amir_sameh16, الدقهلية ,شركه فودافون دى شمال اقسم بالله..,3,2020-06-04
1189,omaimazizo212, الدقهلية ,"فودافون   مصر دى شركه حراميه وزباله
من الساعه ٥ بحاول اتصل   ولا حد معبرنى
ده ايه الارف ده",1,2020-05-31
1190,mayaloooon, الدقهلية ,اقل ما يقال عن إعلان فودافون ف هولندا انه تحفه فنيه,4,2020-05-21
1191,King_A_74, الدقهلية ,حد عنده مشكله مع داتا فودافون ولا لوحدي؟,4,2020-05-14
1192,esammohamed25, الدقهلية ,"هو مش المفروض فاتورة الأرضي اللي مش موجود دا كل ٣ شهور ٥٠ج ي جماعة مش ٦٨ ؟
@telecomegypt 

وعاوز اعرف الزاي انقل لفودافون ؟
ايه الشروط أو الطلبات عشان احول لشركة فودافون ؟",0,2020-05-12
1193,esammohamed25, الدقهلية ,"قسماً بالله هي لما بتقفل بتقفل بشكل م يعلم بيه الا ربنا وادي اول ٢٣٠٠ج طاروا بميتين ام سوق علي ميتين ام فودافون 
بخرا علي حياتي واللي مبقيتش فاهم في ايه 
بميتين ام الرسالة المسجلة بتاع البنك الاهلي اللي علقت وصوتها خرا دا",0,2020-05-10
1194,YElsolia, الدقهلية ,اتصالات أقوى شبكه في مصر فعلا,1,2020-05-10
1195,esammohamed25, الدقهلية ,"بتاع المبيعات بتاع فودافون اللي انا تبعه والي بقعد ابعتله وارن عليه زوبروميت مرة بسبب زن الناس عليا وان المفروض هي يخلص شوية وينجزني
لما كلمت الشركة وقلتلهم مبيعبرش وبلا بلا بلا
الاقيه باعتلي رسالة بيقولي انت بتسلمني!
ع اساس ان افضل مستحمل زن الناس والخرا بتاعهم عشان سعادتك",0,2020-05-09
1196,wasselnada, الدقهلية ,جماعة عاييزة حد بيفهم ف فودافون كاش😊,0,2020-05-06
1197,a7medelkenawy, الدقهلية ,فودافون الابليكيشن بتاعها مفتوح مجاني علطول علشان اللي عاوز يشحن أو يعرف رصيده ف اي وقت يقدر يوصل اما we الشركة الوسخة من الصبح بحاول اشحن باقة اضافيه ومش عارف اوصل لصفحة الدفع يا اخى منك لله يا اللى حزقت وطلعت فكرة ان السرعه تنزل 256,0,2020-05-01
1198,SAMRAWYYY, الدقهلية ,تخيل تكون شغال في شركة اتصالات و نت و النت يفصل عندك ف مقر الشركه😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂,2,2020-04-28
1199,ali_hassan211, الدقهلية ,"احمد حلمي اعلان اتصالات
مني ذكي اعلان فودافون

Error 🤦🏻‍♂️",2,2020-04-26
1200,Arsenal_zamalek, الدقهلية ,تقريبا اصعب اعلان هو اعلان اورانج،، معرفش عملت كدا ليه فينا حقيقي,2,2020-04-25
1201,shrookwaly818, الدقهلية ,انا مش هاممني في اعلان فودافون غير كواليتي الvideo calls,1,2020-04-25
1202,KaremAsassa, الدقهلية ,اعلان فودافون حلو جدا زي كل سنه,0,2020-04-24
1204,Malakelbanna__, كفر الشيخ ,بجد واي فاي اتصالات اقذر حاجه ممكن تتخيلوها 🤌🏻,0,2022-07-24
1206,7u9YQBRq3npmAwv, كفر الشيخ ,سيرفرات شبكه فودافون واقعه وفاتحه نت مجاني حلال فيهم اللي بيعملوه في الناس,6,2022-03-30
1207,A7med_Belal0, كفر الشيخ ,اللي معاه خط فودافون الشركه فاتحه النت   ببلاش افتحو الداتا هتلاقوها شغاله,4,2022-03-30
1208,Rawan_el497, كفر الشيخ ,العالم كله متفق عليا ، حتى فودافون سحبت فلكساتي بعد التجديد ب يومين بالظبط🥲,0,2022-03-03
1209,disha_elgendy, كفر الشيخ ,شركه فودافون شركه زباله وحراميه طول عمرها ومفيش فايده @VodafoneEgypt,2,2021-12-09
1210,hm_Jr07, كفر الشيخ ,فين اعلانات اورانج وبيبسي هاه وديتوها فين,2,2021-04-15
1211,Riihossny, كفر الشيخ ,قاعدين بقالهم 3 ايام يتخانقوا و فلوس بابي و مكسيك و فلوريدا و دبي و إعلانات و فودافون و اتصالات و ليله كبيره و ده رجع بشوية شماريخ لم لايكس في نص ساعه اكتر منهم كلهم في 3 ايام.,6,2021-02-25
1212,mahmoudfadloonx, كفر الشيخ ,"كان يوم طين لما حبت راوتر اورانج حاجه مقرفه
@orange",1,2021-02-16
1213,Mohamed96729951, كفر الشيخ ,"شبكه فودافون دى عاوزة اى بس مننا 🙄😅
جيبالى مكالمه طوارئ 😅",0,2021-01-11
1214,Micky57394496, كفر الشيخ ,"الحمدلله لا ازعاج ولا هدايا ولا اتصالات
راحه بال و الله 😂",23,2020-12-31
1215,disha_elgendy, كفر الشيخ ,حركه ان اي حد معاه خط اورانچ يروح يغير رقمه ف اي شركه تانيه فودافون او واتصالات او وي دي حلوه وفعلا هاتحرق قلبهم لو كل واحد عمل كده واتصلو سألوه عن السبب وقالوله ان احنا ببساطه منقبلش نبقي مع شركه تابعه لخروف بيسيئ لاشرف خلق الله👏🏻👏🏻,6,2020-10-25
1216,KarimMenisy, كفر الشيخ ,عادي منا ممكن اقولك ان رمضان صبحي في أسبوع واحد خسر 10 مليون جنيه منهم 4مليون اللي رجعهم لتايجر وكان هيوقع عقد بينه وبين فودافون علشان يعمل اعلان مع محمد صلاح ب 6 مليون لكن بعد رحيله عن الأهلي رفضه لانه مبقاش محبوب من الجماهير... عرفت بقا ان اسم الاهلي هو اللي يجيب الملايين ♥️,1,2020-08-21
1217,EslamEl10810508, كفر الشيخ ,يعني الباقة خلصت قبل ميعادها ب ٨ ايام وقولت ماشي انما اروح اشحن باقه شركة فودافون تسرق الرصيد يعني اولع ف نفسي ولا اعمل ايه يعني!!,2,2020-08-20
1218,mernanasreldin, كفر الشيخ ,فودافون هو التوب,8,2020-04-24
1219,ma7mod_mo7med, كفر الشيخ ,"شركه زين كالعاده بتقدم افضل اعلان عربيا حتي رمضان اللي فات واللي قبله برده ♥️♥️..
اعلان بنك مصر بيروج للبنك نفسه ونجح ف القصه دي ومازال ناجح ..
اعلان فودافون ممل بس هي عاوزه تسيطر ع اعلان شركات الاتصالات ك خدمات ترويجيه ليها مش اكتر ..
هنشوف باقي الاعلانات هتعمل ايه ☺️",8,2020-04-24
1220,AhmedHasan1108, كفر الشيخ ,حد قبل كده فلوسه اتعلقت علي فودافون كاش؟!!,0,2020-04-09
1221,kokobassam1, كفر الشيخ ,مينفعش تاجلوا الشغل ف فودافون بالمرة ينبكم ثواب 😎,2,2020-03-14
1222,mahmoud_elfadly, كفر الشيخ ,إعلان أحمد حلمي بتاع اتصالات ده حصل بالحرف واحنا بنخطب لإبن خالتي كان ناقص بس الحصان في الآخر,0,2020-03-12
1223,mernanasreldin, كفر الشيخ ,فودافون بتحطني قدام الأمر الواقع و بتبوظلي النت عشان اروح اغير خطي ل 4G 🙂🙂🙂🙂🙂,6,2020-02-27
1224,MohamedFawzii0, كفر الشيخ ,"ياباشا انا مش فاشل ولله حطنى فى مكان وقولى طور من نفسك فيه هاعمل كده وهاسعى ورا التطوير لحد ماوصل لاعلى مكانه فيه واعلى حاجه استحقها
لما كنت فى اورانج انا كنت نازل فرع كده كده هايتقفل فا مكنش عندى طاقه انى اشتغل وكانت تحصيل حاصل مش اكتر🤚🏻
فا محدش بس يحكم علينا وهو ماشفناش🤚🏻",1,2019-11-14
1225,sayedisco10, كفر الشيخ ,"استفسار بس يجماعة
ايه افضل الخطوط الل يتعمل عليها باقة غير فودافون ....",2,2019-10-18
1226,EslamSharsheer, كفر الشيخ ,هي شبكه فودافون زفت ليه النهارده 😥😥,1,2019-09-16
1227,assem_mokhimer, كفر الشيخ ,"شركة فودافون حراميه بس بيطلعو ع الTV 
@VodafoneUK @VodafoneEgypt",2,2019-08-30
1228,iiRooma, كفر الشيخ ,بحب نورين وهيا بتشركني معاها ف لحظات حياتها برغم البعد والمسافات وبرغم اني مبقتش عامل اساسي ف يومها وشكرا لكل وسيلة اتصالات ساعدتها ع كده ❣️,8,2019-08-20
1229,a7med_ali25, كفر الشيخ ,انتوا مش بتردوا ليه علي اللي بيتصل عليكم @orange,0,2019-07-05
1230,MohamedFawzii0, كفر الشيخ ,"اورانج 
فرع الدوران 
يرحب بالساده الزوار 😂😂",1,2019-05-30
1231,MohamedFawzii0, كفر الشيخ ,"يا جماعه الناس الى موبينيل 
ماتنساش تشترك فى عرض رمضان
اتصلو ب#٠١٢# وهايجيلكم كل يوم وحدات مجانا 🌙",2,2019-05-06
1232,Attoou, كفر الشيخ ,اعلان اورانج حلووو اووووي💞💞💞💞💞💞,1,2019-05-06
1233,Rawan_el497, كفر الشيخ ,حابه اقول ل فودافون ان dentistry will cost you برده.. ف مفيش حل لدي عندكم؟,3,2019-04-13
1234,MohamedFawzii0, كفر الشيخ ,Orange بقت شبكه خره على الاخر وغالبا بتقع كده ولا ايه الى بيحصل مش عارف ولله,2,2019-02-16
1235,muhmedatiif, كفر الشيخ ,"اتصالات دي جميله والله مدياني 11 جيجا x 
و 2 جيجا فري ب 30 جنيه",1,2018-11-23
1236,FAVvvv_CAT, كفر الشيخ ,النهارده يعتبر اجمل يوم ف حياتي من اول ما بدأ وحقيقي فرحانه بمعني الكلمه اه صحيح حصل كام موقف بايخ ووقفة الكليه والخر وشركة اتصالات الكالحه وكل ده بس يوم مش هنساه  😍😍,4,2018-10-16
1237,urfavcat_, كفر الشيخ ,دخلت في نقاش مع عامل فودافون كان عايز صاحبه الفيزا تكون موجوده،طب هنكلمهالك يقول لا تيجي بس دقيقه و هنمشيها بسرعه فا قلتله لا ماهي مش ولد قاعده في بيتها هنقلها تنزل هتنزل في ساعتها راح قايلي اه صح احنا كرجاله بننزل عادي انتوا لا و قعد يضحك كتير و حسيته هان البنات اوي,1,2018-08-10
1238,veeeeka, كفر الشيخ ,هى شبكه فودافون فى كفر الشيخ مالها...!؟,13,2018-07-22
1239,Omar_NoaMaN, كفر الشيخ ,شيرين رضا اوفر فشخ ف اعلان اتصالات 😐😐,1,2018-05-19
1240,Omar_NoaMaN, كفر الشيخ ,فودافون نازله بفكره اعلانات حلوه زي كل رمضان 👏🏻👏🏻,0,2018-05-12
1241,disha_elgendy, كفر الشيخ ,السيستيم بتاع فودافون كان واقع بليل وعملت باقه 40 جيجا وقعدت اتفرج ع افلام وحدثت البرامج كلها ونزلت حاجات كتير ولما لقو انهم بيروحو ف داهيه راحو شايلين الباقه بس انا مسكتش وعملت حاجه كمان وجالي جيجا هديه😅💪🏻,0,2018-03-09
1242,Rodinna__, كفر الشيخ ,حقيقي بفكر احول لموبينيل او اي شبكه تانيه غير فودافون الحرميه دي علشان بجد هيموتوني ناقصه عمر والله ع الفلوس اللي بشحن بيها دي,1,2018-03-03
1243,Dentabokhashaba, كفر الشيخ ,"انا معايا بيشنت قرفانى ف عشتى اتصالات ومحن 
وانا فعلا مدايق وعاوز أنجزلها شغلها واخلص 
وحشة اوى ومحنها محن رخيص 😂😂😂 ولو الشغلانه دى مش هتظبط بقى هبطلها 😂😂😂",1,2018-02-27
1311,Gawaaaaad, الأقصر ,هو ايه شكراً اللي كتباها فودافون دي لامؤخزا 🌚,0,2022-04-05
1312,Redjone7_, الأقصر ,إعلان إتصالات أجمد إعلان ف رمضان السنادي كارمن بصيبص وأحمد عز 😩😩😩😩😩😩😩😩😩😩😩😩😩😩😩😩😩😩😩😩😩😩😩😩😩😩😩😩😩😩😩😩😩😩😩😩😩😩😩😩❤️,6,2022-04-03
1329,Beware1998, الأقصر ,احب اشكر شركة اورانج استحملت كتير معانا الشهر دا,0,2020-04-19
1349,TarekMousaa, الأقصر ,بعد طول معاناه مع إتصالات ومشاكلها أخيرا غيرت من إتصالات ل المصرية للإتصالات (we) 😍👍,1,2017-10-20
1351,ayaabuelmaged, الأقصر ,فودافون دي اعرر شركه موبايلات وخدمه العملاء بتاعتهم بهايم والله,1,2017-08-26
1354,Ahmedredatahoun, الأقصر ,"اتصالات مصر""قريبا"": برجاء العلم رصيدك أقل من 200 جنيه!
@EtisalatMisr",0,2016-11-04
1356,imiidoeldesvky, الأقصر ,"فودافون عاملة نظام ان انت لو عميل مميز (يعنى بتشحن وتتكلم كتير) ورحت الشركة يدخلوك على طول حتى لو فى قدامك الف واحد
اه يا فودافون يا مكارة 😂",0,2016-08-22
1359,sarah__atef, الأقصر ,اعلان اتصالات ده جميل خالص 😻,0,2016-06-06
1366,Fahd_khaleed, الأقصر ,"يا اوسخ شركة فالوجود
 #فودافون_بتسرقنا",0,2015-11-09
1367,radwa__ezz, الأقصر ,اتصالات بتدينى ميجات اضافية حبيبتى يا اتصالات 💃🏻💃🏻,0,2015-08-24
1368,radwa__ezz, الأقصر ,انا الباقة خلصت خلاص وفاتحة بقالى ٣ ساعات ازاى معرفش هى اتصالات بتعمل معايا كدا ليه معقولة يكونو حسو بالذنب,0,2015-08-21
1369,radwa__ezz, الأقصر ,اتصالات فكرانى بحفل عليهم 😂,0,2015-07-31
1370,mohamedlatf, الأقصر ,فودافون عندها سرعة قذف,0,2015-07-24
1382,WaelOwenjr, الأقصر ,ايه الرسايل اللى على موبايلك دى؟ دى رسايل إتصالات بتبعتها عادى ...إتصالات بعتالك هتيجى إمتى يلا تعالى بقى؟اه أصلى سالف منهم9جنيه وعايزنهم,0,2015-03-16
1387,eslaamhagag, الأقصر ,"وانا اقول ليه محدش بيكلمنى ع فونى اتصالات اتاري الشركه قفلتهولى

لييييه #etisalat",0,2014-07-18
1388,eslaamhagag, الأقصر ,"لسه واخد سيلفي مع كاميرا المراقبه بتاعت فودافون بس ايييييه صوره ناااار

@VodafoneEgypt 
#luxor",0,2014-07-06
1401,AhmedEl35777061, الغربية ,فودافون محسساني ان واخد منهم قرض وكل  اما اشحن ياخدو فوايده,52,2022-08-26
1402,ShelanMahmoud, الغربية ,"بإذن الله ي شباب هنجمع فلوس نتصدق بيها عن د.إسراء عبدالنبي في خلال ٢٤ ساعة بالكتير، بنية دفع البلاء عنها وشفائها

ال حابب يشارك يحول ع رقم فودافون كاش:
+201029506134

الفلوس هتوصل ف الاخر حسب المبلغ لسرير أو كرسي متحرك في مستشفى الطواريء أو احتياج من احتياجات العناية",1,2022-08-26
1404,naderkhafagy, الغربية ,"يا جماعة فودافون مصر - Vodafone Egypt  أسوأ شبكة في مصر ... ده عن تجربة حقيقية و مقرفة في نفس الوقت 
@VodafoneGroup
@VodafoneEgypt 
 الموافق يتفضل برفع يده .... موافقة
@everyone @الجميع",0,2022-08-21
1405,VIP_elmans, الغربية ,"بعد اذن الناس المحترمه
ايه الإجراء القانوني اللي اعمله ضد شركة فودافون
علشان انا فودافون بزنس ومعايا حوالي ٤٠خط 
في الشركة وبدفع الفاتورة بانتظام
في خط في حسابي وباسمي انسحب مني 
ومعطل مصالح صاحب الخط اكتر من ٣ايام 
وخدمه العملاء معملتش حاجه لحد دلوقتي #vodafoneEgypt",0,2022-08-21
1406,mazen_tharwa, الغربية ,مهندس إتصالات ف ورطه,5,2022-06-24
1407,mazen_tharwa, الغربية ,دكتور هندسة إتصالات جاي يبقا كرييتيڤ ع حظنا,5,2022-06-22
1408,dowidar, الغربية ,"لما تصحي تلاقي الخط موقوف ووتصل بشركة فودافون ويقول لك انت مش بتستخدم الرقم أكثر من ١٢٥ يوم 
اللي هو ازاي يعني 
انا من لحظة نزولي مصر في المطار يوم ١٤ وانا بتكلم مع البيت والسواق والعالم كله",2,2022-06-21
1409,begad_kishk, الغربية ,ماشي يا قسم اتصالات ماشي,14,2022-05-22
1410,MohamedSrour74, الغربية ,يعني واحد سالف 12جنيه من فودافون وخايف يروح يشحن يخصموهم منه هيطلع رحله يتفرج علي نهائي الابطال ب 18 الف جنيه ! اعقلوا الكلمه,3,2022-05-21
1411,yyomna3, الغربية ,بجد اعلان فودافون دا خلاني عايزة ادبدب فالارض واصاحب,1,2022-04-02
1412,R6A9a7taW1giScr, الغربية ,شركه فودافون بعتلي بتقولي مبروك كسبت 500 وحدة م مكفيهم الوحده الي انا فيها,4,2022-03-31
1413,ali_2yman, الغربية ,بس انا اورانج ءعمل ءي,3,2022-03-30
1414,mazen_tharwa, الغربية ,دعواتكم يرجاله إتصالات رايحه تتهان بكرا😭😭😭,2,2022-01-11
1415,AhmedElbieh6, الغربية ,رسميا اورانج افضل شركه في العالم😂♥️ @Orange_Egypt,0,2022-01-03
1416,wyBpYnpbljecByy, الغربية ,"أصدقائى الأعزاء لقد تم تغيير رقمي الشخصي والواتساب إلي 

01025278090
والرقم القديم
01211157065
وذلك نظراً لسوء المعاملة والخدمات والتغطية من شركة اورنج (موبينيل)#انا_مش_غير_متاح_انا_اورانج",0,2021-12-04
1417,mazen_tharwa, الغربية ,اتصالات قسم كويس ومريح نفسيا ومش متعب ف المذاكره وبصراحه برشحه لأي بشمهندس,5,2021-11-13
1418,0sama_morgan, الغربية ,"امى كانت  بتقولى وانا صغير لما تتعب ف الفلوس هتعرف تحافظ عليهم
دلوقت بكون حاطط رينج معين للفلوس اصرفهم ف اسبوعين الاجازة ، اكتر حاجه بتبضنى  لما الاجازه تخلص ويتبقى فلوس .
انا اسف ي امى هعمل زى باقة اتصالات وارحل الفلوس للاجازة الجاية",4,2021-10-25
1419,EgyptianTiger83, الغربية ,بنت اختي هرياني اتصالات على السناب  في وقت الماتش😔😔😔😔 منه لله اللي عملها اكونت على سناب شات 😁😁😁,1,2021-10-08
1420,EmanHouse, الغربية ,"خدمة العملاء في فودافون بقوا مستفزين امتى؟
انا قولت ٦ مرات اني مشتركتش في ام الخدمة اللي خصمت فلوس لوحدها",2,2021-08-11
1421,RiZzzzQ, الغربية ,شبكة اتصالات واقعه عن نص طنطا 😂😂,0,2021-06-27
1422,ebrahimzaghlul, الغربية ,الوحيد اللي ف العالم كل مروح مصلحة حكومية بنك اتصالات او غيرو الوحيد اللي يكون السيستم مش شغال ف الحاجة اللي انا عايز اعملها حاجة غريبة والله,8,2021-04-26
1423,_Ramadanovic, الغربية ,أللي معاه خط اورانج أو فودافون او إتصالات او we. إضغط *199* بعدين رقم تلفونك بعدين بيدوك 10 GB مجاناً لمدة إسبوع، جربوها.. أنا جربتها وطلعت إشتغالة.,0,2021-03-19
1424,EmanHouse, الغربية ,جماعة انا لسه مش مصدقة ان orange كتبت رقم تليفوني في تويتة 😂 مازلت مش فاهمة ازاي حد ممكن يحس ان ده حاجة منطقية 😂😂,0,2021-03-17
1425,EmanHouse, الغربية ,"يا جماعة ألف باء اي شركة اتصالات او اي شركة عموما هو المحافظة على سرية بيانات العميل
فorange قررت تكتب بياناتي على التويتر for public",0,2021-03-17
1426,EmanHouse, الغربية ,"بعد اذن فودافون ممكن تحلوا مشكلة الbot بتاع DM بتاعكم لانه بيكرر نفسه ومش بينفذ اي حاجة من اللي بختارها عشان عندي مشكلة محتاجة حل
كفاية انكم سحبتم رصيد من غير ما اعمل بيه اي حاجة  @VodafoneEgypt",4,2021-02-28
1427,mariam_hamed1, الغربية ,شركة فودافون لو عايزه تشلني مش هتخلي النت كدا,0,2021-02-12
1428,Abdalla49183271, الغربية ,اعلان فودافون عظمةة بجد ..🕺👏,2,2021-01-26
1429,mahmoudfadloonx, الغربية ,نا عايز اشتغل في اورانج,3,2021-01-17
1431,Ahmed_Al3bd, الغربية ,"مبروك كسبت ب ٢ جنية و نص لبان من فودافون
ارحمو اللى جابونى بقى",0,2020-12-10
1432,SalamOooOX, الغربية ,شركة اتصالات مش كفايه انها فشخاني سرقه لا وكمان فيه ناس نصابين بيستغلوا الشركه انهم ينسبوا عليا وكان هيتنصب عليا فعلا بس المره دي ف حاجه كبيره مش مجرد رصيد وخلاص لولا ربنا @Etisalat_Care,0,2020-10-16
1433,NoranAshrafHam1, الغربية ,اى حد معاه خط فودافون عايزه اعرف معايا data ولا ايه وقربت تخلص ولا لاء,0,2020-08-15
1434,V0XTZU04bVADsJW, الغربية ,"الجیش القطري یتأهب عسکریا  للتدخل و بقوة لمساندة الجیش الترکي في حال اصطدم مع الجیش المصري. 
و أنباء عن اتصالات یجریها السیسي مع أمریکا و فرنسا لبحث تهدئة الوضع بعد تدخل قطر مع ارتباک کبیر في صفوف الجیش المصري، و أنباء عن هروب بعض الجنود و کبار الضباظ من الجیش المصري للسعوديه",0,2020-07-29
1435,kariimel7mamsy, الغربية ,بكلم واحد من خدمة عملاء اورانج بقوله عندي مشكلة وبعتله ال error اللي بيحصل وشرحتله الموقف واللي بعمله بيقولي ممكن توضح اكتر فقولتله اكتر من كدا ايه مردش عليا تاني 😂😂😂,0,2020-07-10
1436,fathiissa90, الغربية ,"أوسخ خدمه ومعامله مع العميل ف الحديث والفعل
شركة اتصالات
WE egy",0,2020-07-01
1437,MahmoudLimon, الغربية ,"الباقه اتجددت بتاعت الراوتر امبارح وانا اشتريت بدل الباقه الاضافية الاتنين لان النت بيخلص بعد اول اسبوعين او عشر ايام حد عنده حل لبطئ النت ده لان غير طبيعى ؟!!!
انا شركة اتصالات ..
@EtisalatMisr",2,2020-06-15
1438,miirnasworld, الغربية ,أغنية حسين الجاسمي بتاع إعلان أورانج بتوصفني أنا وصحابي مع رنا ويمنى أوي ونفسي بجد نبقى بنكلمهم كدا فجأة نلاقيهم قدامنا ونفرح كلنا بقى وتوتة توتة خلصت الحدوتة🥳,4,2020-04-30
1439,MahmoudLimon, الغربية ,شركة اتصالات اكتر شركة حراميه فى مصر .,0,2020-04-29
1440,ahmed_yasser74, الغربية ,"فودافون دفعت لمحمد صلاح 44 مليون في الاعلان ومستخسريين يسلفوني 4 جنيه علشان اعمل باقه الاهتمام مبيطلبش 😓 
@VodafoneEgypt",0,2020-04-29
1441,mona_elesnawy, الغربية ,احمد حلمي في اعلان اتصالات بيمثلني اوي.,1,2020-04-27
1442,essam_helmyy, الغربية ,كل مرة بتفرج على اعلان اورانج السنادى بحس بمشاعر اشتياق مختلفة لكل الناس اللي موجودة في حياتي، اعلان جميل جدا♥️,7,2020-04-27
1443,MostafaSalahZ, الغربية ,فيها حاجه لو حاسبتك على fixed speed ؟ لمده واحاسبك بالمدة مش بالميجا؟ واضحك عليك 😂 اتصالات,0,2020-04-25
1444,ebrahimzaghlul, الغربية ,اعلان ف فودافون خرا كتفوا مخليه بيض,0,2020-04-25
1445,ShimaaN10590737, الغربية ,طب اعلان بنك مصر احلي من فودافون بكتير والي عايز  يعاركني يعاركني,3,2020-04-24
1446,ASALYA67106629, الغربية ,اعلان فودافون يجدعاننننننننن 😹⁦❤️⁩⁦❤️⁩⁦❤️⁩⁦❤️⁩,8,2020-04-24
1447,draskarbic, الغربية ,انا مبسوط ان فودافون شالت ستاي هوم من موبايلي,0,2020-04-17
1448,draskarbic, الغربية ,فروع فودافون بتقفل الساعه كام ؟,0,2020-04-15
1449,Tarekatia56, الغربية ,"اللي معاه شريحة فودافون مسجلة بــ اسمه يتصل علي 818 بيديلك 1500 جنيه من فودافون كاش بمناسبة الحجر الصحي
جربوها
انا جربتها طلعت كدب",1,2020-04-14
1450,SherifAshraf888, الغربية ,"اعلان اتصالات بتاع حلمي جامد 😂😂😂♥️
احلى برنس والله ♥️🖤♥️",4,2020-03-07
1451,hosoelhalwany, الغربية ,كسم فودافون,0,2020-02-23
1452,A_Mansur, الغربية ,أنا مش فاهم ازاي ينفع ادفع رصيدي اونلاين و ماعرفش استخدم فودافون كاش واحط فيها فلوس اونلاين!! @VodafoneEgypt,1,2020-02-06
1455,Stamonys_acc, بور سعيد ,حد يكدب عليا و يقولي ان باقات Connect X متلغتش في اتصالات!!!!!,0,2021-07-25
1456,Tasneemalaa161, بور سعيد ,طب انا دلوقتي ف اتصالات ليه بقي عايزه البس uniform بتاع مدني ؟,12,2021-02-03
1458,MoatazG82047952, بور سعيد ,الحمدلله لا ازعاج ولا هدايا ولا اتصالات,4,2019-12-30
1464,Ibnelgammal, القليوبية ,"قصة البنوتة الجميلة اللي حبت تتبرع بكارت فودافون لجمعية مرسال ب١٠ جنية و الناس الجميلة اتفاعلت مع القصة و التبرعات بسببها داخلة علي رقم خرافي بالمساهمة مع فودافون مثال حي و واقعي علي مقولة سيدنا محمد صلي الله عليه وسلم ( ان الخير في امتي الي يوم الدين )
 #أغلى_كارت_شحن_فى_مصر",10,2022-05-01
1467,a7med_elbrashy, القليوبية ,قررت اجيب خط موبينيل عشان حاسس ان اي حد معاه موبينيل بيبقي شخص كاريزما,0,2022-03-06
1468,Ibnelgammal, القليوبية ,فودافون جاية تقع دلوقتي قبل الماتش بساعة يا اخي احييييه بجد,0,2022-02-08
1471,mo_salah80, القليوبية ,"الناس الى معاها خط اتصالات 
النت معاكو بطىء جدا من فتره ؟
مش لاقي حل مع اني لسه مجدد الباقه امبارح",7,2021-10-28
1472,IsraAshraf2002, القليوبية ,شركة ڤودافون وفرع خدمة فودافون في أول بطا أوسخ حاجتين في الدنيا بأمانه.,8,2021-10-02
